mediaid,name,harmonized_media,reported_media,reported_species
1804,ip_chem_biota,NA,tm,palaemon serratu
1805,ip_chem_biota,NA,mu,lophius piscatorius
1807,ip_chem_biota,NA,tm,crangon crangon
1809,ip_chem_biota,NA,wo,fucus
1810,ip_chem_biota,NA,li,zoarces viviparus
1811,ip_chem_biota,NA,go,pecten maximus
1812,ip_chem_biota,NA,mu,pecten maximus
1813,ip_chem_biota,NA,wo,fucus serratus
1814,ip_chem_biota,NA,mu,brosme brosme
1815,ip_chem_biota,NA,li,brosme brosme
1817,ip_chem_biota,NA,tm,pandalus borealis
1818,ip_chem_biota,NA,mu,solea vulgaris
1819,ip_chem_biota,NA,fe,cepphus grylle
1820,ip_chem_biota,NA,li,myoxocephalus scorpius
1821,ip_chem_biota,NA,mu,mallotus villosus
1822,ip_chem_biota,NA,li,monodon monoceros
1823,ip_chem_biota,NA,mu,monodon monoceros
1824,ip_chem_biota,NA,ki,monodon monoceros
1825,ip_chem_biota,NA,mu,boreogadus saida
1826,ip_chem_biota,NA,li,boreogadus saida
1827,ip_chem_biota,NA,li,larus hyperboreus
1828,ip_chem_biota,NA,fa,larus hyperboreus
1829,ip_chem_biota,NA,mu,sprattus sprattus
1830,ip_chem_biota,NA,bb,balaenoptera acutorostrata
1831,ip_chem_biota,NA,li,hippoglossoides platessoides
1832,ip_chem_biota,NA,bb,phoca vitulina
1833,ip_chem_biota,NA,li,phoca vitulina
1835,ip_chem_biota,NA,eg,uria aalge
1837,ip_chem_biota,NA,bb,phocoena phocoena
1839,ip_chem_biota,NA,mu,molva molva
1840,ip_chem_biota,NA,li,molva molva
1841,ip_chem_biota,NA,mu,salvelinus alpinus
1842,ip_chem_biota,NA,mu,scomber scombrus
1843,ip_chem_biota,NA,mu,leucoraja naevus
1844,ip_chem_biota,NA,mu,pollachius pollachius
1845,ip_chem_biota,NA,mu,zeus faber
1846,ip_chem_biota,NA,mu,palaemon serratu
1847,ip_chem_biota,NA,mu,scophthalmus rhombus
1848,ip_chem_biota,NA,mu,lophius budegassa
1849,ip_chem_biota,NA,mu,solea solea
1850,ip_chem_biota,NA,mu,thunnus alalunga
1851,ip_chem_biota,NA,mu,conger conger
1852,ip_chem_biota,NA,mu,raja clavata
1853,ip_chem_biota,NA,gi,aphanopus carbo
1854,ip_chem_biota,NA,bl,halichoerus grypus
1855,ip_chem_biota,NA,bb,halichoerus grypus
1856,ip_chem_biota,NA,li,cepphus grylle
1857,ip_chem_biota,NA,eg,haematopus ostralegus
1858,ip_chem_biota,NA,sh,mytilus edulis
1859,ip_chem_biota,NA,mu,raja naevus
1860,ip_chem_biota,NA,mu,sebastes mentella
1861,ip_chem_biota,NA,li,sebastes mentella
1862,ip_chem_biota,NA,mu,hippoglossoides platessoides
1863,ip_chem_biota,NA,li,solea vulgaris
1864,ip_chem_biota,NA,fa,fulmarus glacialis
1865,ip_chem_biota,NA,li,fulmarus glacialis
1867,ip_chem_biota,NA,li,chimaera monstrosa
1868,ip_chem_biota,NA,mu,chimaera monstrosa
1869,ip_chem_biota,NA,mu,pollachius virens
1870,ip_chem_biota,NA,mu,eutrigla gurnardus
1871,ip_chem_biota,NA,bb,globicephala melas
1872,ip_chem_biota,NA,ki,globicephala melas
1873,ip_chem_biota,NA,li,globicephala melas
1874,ip_chem_biota,NA,mu,globicephala melas
1875,ip_chem_biota,NA,mu,psetta maxima
1876,ip_chem_biota,NA,mu,ostrea edulis
1877,ip_chem_biota,NA,eh,cepphus grylle
1878,ip_chem_biota,NA,eg,cepphus grylle
1879,ip_chem_biota,NA,li,pollachius virens
1880,ip_chem_biota,NA,mu,bathysaurus ferox
1881,ip_chem_biota,NA,go,bathysaurus ferox
1882,ip_chem_biota,NA,li,bathysaurus ferox
1883,ip_chem_biota,NA,mu,scyliorhinus canicula
1884,ip_chem_biota,NA,mu,squalus acanthias
1885,ip_chem_biota,NA,tm,platichthys flesus
1886,ip_chem_biota,NA,gi,lophius piscatorius
1887,ip_chem_biota,NA,go,lophius piscatorius
1888,ip_chem_biota,NA,li,lophius piscatorius
1889,ip_chem_biota,NA,mu,hoplostethus atlanticus
1890,ip_chem_biota,NA,li,hoplostethus atlanticus
1891,ip_chem_biota,NA,go,hoplostethus atlanticus
1892,ip_chem_biota,NA,wo,crangon crangon
1893,ip_chem_biota,NA,mu,anarhichas lupus
1894,ip_chem_biota,NA,mu,raja montagui
1895,ip_chem_biota,NA,mu,micromesistius poutassou
1896,ip_chem_biota,NA,li,micromesistius poutassou
1897,ip_chem_biota,NA,li,sebastes marinus
1898,ip_chem_biota,NA,mu,sebastes marinus
1899,ip_chem_biota,NA,li,salmo trutta
1900,ip_chem_biota,NA,mu,salmo trutta
1901,ip_chem_biota,NA,bb,monodon monoceros
1902,ip_chem_biota,NA,fa,rissa tridactyla
1903,ip_chem_biota,NA,li,rissa tridactyla
1904,ip_chem_biota,NA,wo,fucus ceranoides
1905,ip_chem_biota,NA,mu,glyptocephalus cynoglossus
1906,ip_chem_biota,NA,fa,somateria mollissima
1907,ip_chem_biota,NA,li,somateria mollissima
1908,ip_chem_biota,NA,li,nephrops norvegicus
1909,ip_chem_biota,NA,mu,nephrops norvegicus
1910,ip_chem_biota,NA,go,molva dypterygia
1911,ip_chem_biota,NA,li,glyptocephalus cynoglossus
1912,ip_chem_biota,NA,wo,platichthys flesus
1914,ip_chem_biota,NA,li,lepus timidus
1915,ip_chem_biota,NA,bb,phoca hispida
1916,ip_chem_biota,NA,mu,phoca hispida
1917,ip_chem_biota,NA,li,phoca hispida
1918,ip_chem_biota,NA,bc,phoca vitulina
1919,ip_chem_biota,NA,bs,phoca vitulina
1920,ip_chem_biota,NA,mu,chelidonichthys kumu
1921,ip_chem_biota,NA,ki,phoca hispida
1922,ip_chem_biota,NA,li,ovis aries
1923,ip_chem_biota,NA,mu,reinhardtius hippoglossoides
1924,ip_chem_biota,NA,wo,pecten maximus
1925,ip_chem_biota,NA,li,pollachius pollachius
1926,ip_chem_biota,NA,mu,raja brachyura
1927,ip_chem_biota,NA,mu,rissa tridactyla
1928,ip_chem_biota,NA,br,rissa tridactyla
1929,ip_chem_biota,NA,ki,rissa tridactyla
1930,ip_chem_biota,NA,wo,gadus morhua
1931,ip_chem_biota,NA,li,scomber scombrus
1932,ip_chem_biota,NA,mu,salmo salar
1935,ip_chem_biota,NA,mu,triglidae
1936,ip_chem_biota,NA,bb,ursus maritimus
1937,ip_chem_biota,NA,mu,anarhichas minor
1938,ip_chem_biota,NA,mu,thunnus thynnus
1939,ip_chem_biota,NA,eg,sterna hirundo
1940,ip_chem_biota,NA,li,uria lomvia
1941,ip_chem_biota,NA,ro,pollachius pollachius
1942,ip_chem_biota,NA,wo,solea vulgaris
1943,ip_chem_biota,NA,li,sardina pilchardus
1944,ip_chem_biota,NA,mu,sardina pilchardus
1946,ip_chem_biota,NA,bb,delphinus delphis
1947,ip_chem_biota,NA,li,delphinus delphis
1948,ip_chem_biota,NA,mu,pegusa lascaris
1950,ip_chem_biota,NA,ki,cephhus grylle
1951,ip_chem_biota,NA,bb,myoxocephalus scorpius
1952,ip_chem_biota,NA,bb,salvelinus alpinus
1953,ip_chem_biota,NA,li,larus glaucoides
1954,ip_chem_biota,NA,li,reinhardtius hippoglossoides
1955,ip_chem_biota,NA,li,pandalus borealis
1956,ip_chem_biota,NA,mu,delphinapterus leucas
1957,ip_chem_biota,NA,bb,delphinapterus leucas
1958,ip_chem_biota,NA,ki,delphinapterus leucas
1959,ip_chem_biota,NA,li,delphinapterus leucas
1960,ip_chem_biota,NA,ep,delphinapterus leucas
1961,ip_chem_biota,NA,li,gadus ogac
1962,ip_chem_biota,NA,li,anarhichas minor
1963,ip_chem_biota,NA,li,raja radiata
1964,ip_chem_biota,NA,ba,balaenoptera acutorostrata
1965,ip_chem_biota,NA,ki,balaenoptera acutorostrata
1966,ip_chem_biota,NA,li,balaenoptera acutorostrata
1967,ip_chem_biota,NA,mu,balaenoptera acutorostrata
1969,ip_chem_biota,NA,eh,larus
1978,usda_nrp,NA,kidney,animal-cattle-beef cow
1980,usda_nrp,NA,kidney,animal-calf-bob veal
1981,usda_nrp,NA,kidney,animal-cattle-bull
1983,usda_nrp,NA,kidney,animal-cattle-dairy cow
1984,usda_nrp,NA,kidney,animal-calf-heavy calf
1985,usda_nrp,NA,kidney,animal-cattle-heifer
1986,usda_nrp,NA,kidney,animal-cattle-steer
1987,usda_nrp,NA,kidney,animal-swine-market swine
1988,usda_nrp,NA,kidney,animal-swine-sow
1989,usda_nrp,NA,kidney,animal-calf-formula-fed veal
1991,usda_nrp,NA,kidney,animal-calf-non formula-fed veal
1992,usda_nrp,NA,kidney,animal-sheep-lamb
1993,usda_nrp,NA,liver,animal-cattle-beef cow
1994,usda_nrp,NA,liver,animal-calf-bob veal
1995,usda_nrp,NA,liver,animal-cattle-bull
1996,usda_nrp,NA,liver,animal-cattle-dairy cow
1997,usda_nrp,NA,liver,animal-calf-heavy calf
1998,usda_nrp,NA,liver,animal-cattle-heifer
1999,usda_nrp,NA,liver,animal-cattle-steer
2001,usda_nrp,NA,liver,animal-swine-market swine
2002,usda_nrp,NA,liver,animal-swine-sow
